RIGOL Bode Data
Para Set
StartFreq:,1000.000000
StopFreq:,25000000.000000
Freq(Hz),Gain(dB),Phase
1000.000000,0.010055,0.041022
1047.128548,-0.029766,-0.186820
1096.478196,-0.049031,-0.205924
1148.153621,-0.068027,-0.443707
1202.264434,-0.074414,-0.587072
1258.925411,-0.050419,-0.817096
1318.256738,0.043271,-1.090765
1380.384264,-0.022442,-0.710662
1445.439770,-0.035585,-0.559947
1513.561248,-0.065895,-0.472959
1584.893192,-0.083588,-0.634367
1659.586907,-0.062675,-0.815789
1737.800828,0.036218,-0.727561
1819.700858,-0.042247,-0.818421
1905.460717,-0.072024,-0.620913
1995.262314,-0.085993,-0.733692
2089.296130,-0.055395,-0.856688
2187.761623,-0.041961,-0.624798
2290.867652,-0.076948,-0.511410
2398.832919,-0.096554,-0.724627
2511.886431,-0.067783,-0.493830
2630.267991,-0.084615,-0.297428
2754.228703,-0.112457,-0.321489
2884.031503,-0.143044,-0.797062
3019.951720,-0.143861,-0.583859
3162.277660,-0.111381,-0.953811
3311.311214,-0.058562,-0.838701
3467.368504,-0.048227,-0.818399
3630.780547,-0.079680,-0.564730
3801.893963,-0.130200,-0.348395
3981.071705,-0.157051,-0.736701
4168.693834,-0.120168,-1.040169
4365.158322,-0.072794,-0.888952
4570.881896,-0.080366,-0.503785
4786.300923,-0.125807,-0.530188
5011.872336,-0.105870,-0.553238
5248.074602,-0.112620,0.363089
5495.408738,-0.129260,-0.494877
5754.399373,-0.151639,-0.278772
6025.595860,-0.156521,-0.764816
6309.573444,-0.126419,-0.982628
6606.934480,-0.088541,-1.042227
6918.309709,-0.074559,-0.841046
7244.359600,-0.096067,-0.677497
7585.775750,-0.138820,-0.694617
7943.282347,-0.147560,-0.936124
8317.637711,-0.118766,-1.666352
8709.635899,-0.078039,-1.367373
9120.108393,-0.095058,-1.117072
9549.925860,-0.123408,-0.731149
10000.000000,-0.154386,-0.624484
10471.285480,-0.140719,-0.782567
10964.781961,-0.150044,-0.901992
11481.536214,-0.156423,-1.067033
12022.644346,-0.157542,-1.370112
12589.254117,-0.135898,-1.688326
13182.567385,-0.093142,-1.711568
13803.842646,-0.068834,-1.462425
14454.397707,-0.101434,-1.478053
15135.612484,-0.141406,-1.485940
15848.931924,-0.162655,-1.724309
16595.869074,-0.133617,-2.730228
17378.008287,-0.084652,-2.756304
18197.008586,-0.098387,-2.612534
19054.607179,-0.138866,-2.262201
19952.623149,-0.167686,-2.394904
20892.961308,-0.117765,-2.572400
21877.616239,-0.107008,-2.733552
22908.676527,-0.133138,-2.462761
23988.329190,-0.156873,-2.711008
25118.864315,-0.122092,-2.506768
